DayOfWeek	Date	Time	Season	IndoorTemperature	OutdoorTemperature	Heat	Fan	AC	NumberOfPeople
Wed	4/11/17	1	Spring	27	3	on	off	on	2
Thu	4/12/17	1	Spring	19	6	on	off	on	2
Fri	4/13/17	1	Spring	19	12	on	off	on	2
Sat	4/14/17	1	Spring	17	9	on	off	on	2
Sun	4/15/17	1	Spring	20	1	on	off	on	2
Mon	4/16/17	1	Spring	27	9	on	off	on	2
Tue	4/17/17	1	Spring	16	8	on	off	on	2
Wed	4/18/17	1	Spring	15	4	on	off	on	2
Thu	4/19/17	1	Spring	16	11	on	off	on	2
Fri	4/20/17	1	Spring	23	9	on	off	on	2
Sat	4/21/17	1	Spring	20	2	on	off	on	2
Sun	4/22/17	1	Spring	16	12	on	off	on	2
Mon	4/23/17	1	Spring	15	3	on	off	on	2
Tue	4/24/17	1	Spring	19	7	on	off	on	2
Wed	4/25/17	1	Spring	23	5	on	off	on	2
Thu	4/26/17	1	Spring	27	3	on	off	on	2
Fri	4/27/17	1	Spring	16	12	on	off	on	2
Sat	4/28/17	1	Spring	15	3	on	off	on	2
Sun	4/29/17	1	Spring	22	9	on	off	on	2
Mon	4/30/17	1	Spring	21	11	on	off	on	2
Tue	5/1/17	1	Spring	28	11	on	off	on	2
Wed	5/2/17	1	Spring	18	8	on	off	on	2
Thu	5/3/17	1	Spring	18	8	on	off	on	2
Fri	5/4/17	1	Spring	22	11	on	off	on	2
Sat	5/5/17	1	Spring	19	11	on	off	on	2
Sun	5/6/17	1	Spring	24	7	on	off	on	2
Mon	5/7/17	1	Spring	21	10	on	off	on	2
Tue	5/8/17	1	Spring	20	11	on	off	on	2
Wed	5/9/17	1	Spring	27	6	on	off	on	2
Thu	5/10/17	1	Spring	28	10	on	off	on	2
Fri	5/11/17	1	Spring	19	4	on	off	on	2
Sat	5/12/17	1	Spring	16	12	on	off	on	2
Sun	5/13/17	1	Spring	19	2	on	off	on	2
Mon	5/14/17	1	Spring	18	5	on	off	on	2
Tue	5/15/17	1	Spring	22	9	on	off	on	2
Wed	5/16/17	1	Spring	20	9	on	off	on	2
Thu	5/17/17	1	Spring	28	8	on	off	on	2
Fri	5/18/17	1	Spring	17	9	on	off	on	2
Sat	5/19/17	1	Spring	17	18	off	on	off	2
Sun	5/20/17	1	Spring	18	24	off	on	off	2
Mon	5/21/17	1	Spring	15	17	off	on	off	2
Tue	5/22/17	1	Spring	15	10	off	on	off	2
Wed	5/23/17	1	Spring	22	18	off	on	off	2
Thu	5/24/17	1	Spring	25	30	off	on	off	2
Fri	5/25/17	1	Spring	18	26	off	on	off	2
Sat	5/26/17	1	Spring	24	20	off	on	off	2
Sun	5/27/17	1	Spring	17	29	off	on	off	2
Mon	5/28/17	1	Spring	18	24	off	on	off	2
Tue	5/29/17	1	Spring	16	11	off	on	off	2
Wed	5/30/17	1	Spring	25	15	off	on	off	2
Thu	5/31/17	1	Spring	16	26	off	on	off	2
Fri	6/1/17	1	Spring	24	19	off	on	off	2
Sat	6/2/17	1	Spring	22	28	off	on	off	2
Sun	6/3/17	1	Spring	26	29	off	on	off	2
Mon	6/4/17	1	Spring	20	13	off	on	off	2
Tue	6/5/17	1	Spring	18	23	off	on	off	2
Wed	6/6/17	1	Spring	15	21	off	on	off	2
Thu	6/7/17	1	Spring	15	21	off	on	off	2
Fri	6/8/17	1	Spring	23	24	off	on	off	2
Sat	6/9/17	1	Spring	24	27	off	on	off	2
Sun	6/10/17	1	Spring	27	25	off	on	off	2
Mon	6/11/17	1	Spring	16	29	off	on	off	2
Tue	6/12/17	1	Spring	17	18	off	on	off	2
Wed	6/13/17	1	Spring	15	21	off	on	off	2
Thu	6/14/17	1	Spring	26	11	off	on	off	2
Fri	6/15/17	1	Spring	21	22	off	on	off	2
Sat	6/16/17	1	Spring	24	21	off	on	off	2
Sun	6/17/17	1	Spring	22	22	off	on	off	2
Mon	6/18/17	1	Spring	24	12	off	on	off	2
Tue	6/19/17	1	Spring	15	18	off	on	off	2
Wed	6/20/17	1	Spring	15	10	off	on	off	2
Thu	6/21/17	1	Spring	20	13	off	on	off	2
Fri	6/22/17	1	Summer	24	26	off	on	off	2
Sat	6/23/17	1	Summer	26	30	off	on	off	2
Sun	6/24/17	1	Summer	20	28	off	on	off	2
Mon	6/25/17	1	Summer	19	22	off	on	off	2
Tue	6/26/17	1	Summer	17	30	off	on	off	2
Wed	6/27/17	1	Summer	19	10	off	on	off	2
Thu	6/28/17	1	Summer	16	22	off	on	off	2
Fri	6/29/17	1	Summer	26	12	off	on	off	2
Sat	6/30/17	1	Summer	17	13	off	on	off	2
Sun	7/1/17	1	Summer	22	24	off	on	off	2
Mon	7/2/17	1	Summer	19	30	off	on	off	2
Tue	7/3/17	1	Summer	17	11	off	on	off	2
Wed	7/4/17	1	Summer	24	25	off	on	off	2
Thu	7/5/17	1	Summer	27	17	off	on	off	2
Fri	7/6/17	1	Summer	27	28	off	on	off	2
Sat	7/7/17	1	Summer	23	27	off	on	off	2
Sun	7/8/17	1	Summer	25	16	off	on	off	2
Mon	7/9/17	1	Summer	18	15	off	on	off	2
Tue	7/10/17	1	Summer	24	25	off	on	off	2
Wed	7/11/17	1	Summer	19	23	off	on	off	2
Thu	7/12/17	1	Summer	21	10	off	on	off	2
Fri	7/13/17	1	Summer	20	20	off	on	off	2
Sat	7/14/17	1	Summer	20	10	off	on	off	2
Sun	7/15/17	1	Summer	26	13	off	on	off	2
Mon	7/16/17	1	Summer	15	20	off	on	off	2
Tue	7/17/17	1	Summer	27	18	off	on	off	2
Wed	7/18/17	1	Summer	17	18	off	on	off	2
Thu	7/19/17	1	Summer	19	29	off	on	off	2
Fri	7/20/17	1	Summer	15	11	off	on	off	2
Sat	7/21/17	1	Summer	28	28	off	on	off	2
Sun	7/22/17	1	Summer	25	26	off	on	off	2
Mon	7/23/17	1	Summer	27	25	off	on	off	2
Tue	7/24/17	1	Summer	24	14	off	on	off	2
Wed	7/25/17	1	Summer	18	12	off	on	off	2
Thu	7/26/17	1	Summer	24	20	off	on	off	2
Fri	7/27/17	1	Summer	27	23	off	on	off	2
Sat	7/28/17	1	Summer	22	14	off	on	off	2
Sun	7/29/17	1	Summer	25	23	off	on	off	2
Mon	7/30/17	1	Summer	15	29	off	on	off	2
Tue	7/31/17	1	Summer	26	29	off	on	off	2
Wed	8/1/17	1	Summer	24	16	off	on	off	2
Thu	8/2/17	1	Summer	18	29	off	on	off	2
Fri	8/3/17	1	Summer	17	10	off	on	off	2
Sat	8/4/17	1	Summer	15	18	off	on	off	2
Sun	8/5/17	1	Summer	19	12	off	on	off	2
Mon	8/6/17	1	Summer	16	16	off	on	off	2
Tue	8/7/17	1	Summer	22	13	off	on	off	2
Wed	8/8/17	1	Summer	22	11	off	on	off	2
Thu	8/9/17	1	Summer	26	17	off	on	off	2
Fri	8/10/17	1	Summer	28	24	off	on	off	2
Sat	8/11/17	1	Summer	20	23	off	on	off	2
Sun	8/12/17	1	Summer	28	13	off	on	off	2
Mon	8/13/17	1	Summer	16	15	off	on	off	2
Tue	8/14/17	1	Summer	15	11	off	on	off	2
Wed	8/15/17	1	Summer	26	10	off	on	off	2
Thu	8/16/17	1	Summer	20	11	off	on	off	2
Fri	8/17/17	1	Summer	25	27	off	on	off	2
Sat	8/18/17	1	Summer	21	26	off	on	off	2
Sun	8/19/17	1	Summer	23	13	off	on	off	2
Mon	8/20/17	1	Summer	24	27	off	on	off	2
Tue	8/21/17	1	Summer	16	20	off	on	off	2
Wed	8/22/17	1	Summer	23	25	off	on	off	2
Thu	8/23/17	1	Summer	16	17	off	on	off	2
Fri	8/24/17	1	Summer	23	19	off	on	off	2
Sat	8/25/17	1	Summer	19	17	off	on	off	2
Sun	8/26/17	1	Summer	26	10	off	on	off	2
Mon	8/27/17	1	Summer	19	29	off	on	off	2
Tue	8/28/17	1	Summer	16	14	off	on	off	2
Wed	8/29/17	1	Summer	15	15	off	on	off	2
Thu	8/30/17	1	Summer	17	21	off	on	off	2
Fri	8/31/17	1	Summer	22	14	off	on	off	2
Sat	9/1/17	1	Summer	27	12	off	on	off	2
Sun	9/2/17	1	Summer	18	21	off	on	off	2
Mon	9/3/17	1	Summer	18	21	off	on	off	2
Tue	9/4/17	1	Summer	22	13	off	on	off	2
Wed	9/5/17	1	Summer	17	20	off	on	off	2
Thu	9/6/17	1	Summer	26	24	off	on	off	2
Fri	9/7/17	1	Summer	27	10	off	on	off	2
Sat	9/8/17	1	Summer	26	19	off	on	off	2
Sun	9/9/17	1	Summer	27	28	off	on	off	2
Mon	9/10/17	1	Summer	20	14	off	on	off	2
Tue	9/11/17	1	Summer	22	12	off	on	off	2
Wed	9/12/17	1	Summer	18	22	off	on	off	2
Thu	9/13/17	1	Summer	27	20	off	on	off	2
Fri	9/14/17	1	Summer	26	24	off	on	off	2
Sat	9/15/17	1	Summer	28	27	off	on	off	2
Sun	9/16/17	1	Summer	17	13	off	on	off	2
Mon	9/17/17	1	Summer	22	27	off	on	off	2
Tue	9/18/17	1	Summer	16	18	off	on	off	2
Wed	9/19/17	1	Summer	15	26	off	on	off	2
Thu	9/20/17	1	Summer	27	25	off	on	off	2
Fri	9/21/17	1	Summer	16	10	off	on	off	2
Sat	9/22/17	1	Summer	27	27	off	on	off	2
Sun	9/23/17	1	Fall	18	21	off	on	off	2
Mon	9/24/17	1	Fall	28	28	off	on	off	2
Tue	9/25/17	1	Fall	26	19	off	on	off	2
Wed	9/26/17	1	Fall	15	12	off	on	off	2
Thu	9/27/17	1	Fall	24	18	off	on	off	2
Fri	9/28/17	1	Fall	19	11	off	on	off	2
Sat	9/29/17	1	Fall	28	19	off	on	off	2
Sun	9/30/17	1	Fall	21	25	off	on	off	2
Mon	10/1/17	1	Fall	28	15	off	on	off	2
Tue	10/2/17	1	Fall	15	29	off	on	off	2
Wed	10/3/17	1	Fall	19	18	off	on	off	2
Thu	10/4/17	1	Fall	28	22	off	on	off	2
Fri	10/5/17	1	Fall	20	14	off	on	off	2
Sat	10/6/17	1	Fall	17	30	off	on	off	2
Sun	10/7/17	1	Fall	26	16	off	on	off	2
Mon	10/8/17	1	Fall	21	22	off	on	off	2
Tue	10/9/17	1	Fall	27	30	off	on	off	2
Wed	10/10/17	1	Fall	23	14	off	on	off	2
Thu	10/11/17	1	Fall	19	29	off	on	off	2
Fri	10/12/17	1	Fall	23	29	off	on	off	2
Sat	10/13/17	1	Fall	18	15	off	on	off	2
Sun	10/14/17	1	Fall	20	15	off	on	off	2
Mon	10/15/17	1	Fall	18	20	off	on	off	2
Tue	10/16/17	1	Fall	15	18	off	on	off	2
Wed	10/17/17	1	Fall	17	26	off	on	off	2
Thu	10/18/17	1	Fall	22	20	off	on	off	2
Fri	10/19/17	1	Fall	22	15	off	on	off	2
Sat	10/20/17	1	Fall	19	30	off	on	off	2
Sun	10/21/17	1	Fall	18	15	off	on	off	2
Mon	10/22/17	1	Fall	21	12	off	on	off	2
Tue	10/23/17	1	Fall	23	26	off	on	off	2
Wed	10/24/17	1	Fall	28	25	off	on	off	2
Thu	10/25/17	1	Fall	27	13	off	on	off	2
Fri	10/26/17	1	Fall	23	12	off	on	off	2
Sat	10/27/17	1	Fall	27	17	off	on	off	2
Sun	10/28/17	1	Fall	18	22	off	on	off	2
Mon	10/29/17	1	Fall	22	25	off	on	off	2
Tue	10/30/17	1	Fall	15	21	off	on	off	2
Wed	10/31/17	1	Fall	19	23	off	on	off	2
Thu	11/1/17	1	Fall	20	15	off	on	off	2
Fri	11/2/17	1	Fall	27	20	off	on	off	2
Sat	11/3/17	1	Fall	25	14	off	on	off	2
Sun	11/4/17	1	Fall	22	17	off	on	off	2
Mon	11/5/17	1	Fall	22	29	off	on	off	2
Tue	11/6/17	1	Fall	24	5	on	off	on	2
Wed	11/7/17	1	Fall	23	5	on	off	on	2
Thu	11/8/17	1	Fall	18	14	on	off	on	2
Fri	11/9/17	1	Fall	18	14	on	off	on	2
Sat	11/10/17	1	Fall	21	13	on	off	on	2
Sun	11/11/17	1	Fall	20	13	on	off	on	2
Mon	11/12/17	1	Fall	19	8	on	off	on	2
Tue	11/13/17	1	Fall	19	12	on	off	on	2
Wed	11/14/17	1	Fall	19	11	on	off	on	2
Thu	11/15/17	1	Fall	25	12	on	off	on	2
Fri	11/16/17	1	Fall	18	5	on	off	on	2
Sat	11/17/17	1	Fall	17	9	on	off	on	2
Sun	11/18/17	1	Fall	27	5	on	off	on	2
Mon	11/19/17	1	Fall	21	15	on	off	on	2
Tue	11/20/17	1	Fall	20	7	on	off	on	2
Wed	11/21/17	1	Fall	27	10	on	off	on	2
Thu	11/22/17	1	Fall	16	5	on	off	on	2
Fri	11/23/17	1	Fall	28	14	on	off	on	2
Sat	11/24/17	1	Fall	16	14	on	off	on	2
Sun	11/25/17	1	Fall	27	13	on	off	on	2
Mon	11/26/17	1	Fall	18	14	on	off	on	2
Tue	11/27/17	1	Fall	26	7	on	off	on	2
Wed	11/28/17	1	Fall	19	9	on	off	on	2
Thu	11/29/17	1	Fall	17	12	on	off	on	2
Fri	11/30/17	1	Fall	18	6	on	off	on	2
Sat	12/1/17	1	Fall	26	9	on	off	on	2
Sun	12/2/17	1	Fall	22	9	on	off	on	2
Mon	12/3/17	1	Fall	25	11	on	off	on	2
Tue	12/4/17	1	Fall	22	9	on	off	on	2
Wed	12/5/17	1	Fall	16	8	on	off	on	2
Thu	12/6/17	1	Fall	25	9	on	off	on	2
Fri	12/7/17	1	Fall	19	14	on	off	on	2
Sat	12/8/17	1	Fall	23	5	on	off	on	2
Sun	12/9/17	1	Fall	24	10	on	off	on	2
Mon	12/10/17	1	Fall	27	8	on	off	on	2
Tue	12/11/17	1	Fall	24	7	on	off	on	2
Wed	12/12/17	1	Fall	28	12	on	off	on	2
Thu	12/13/17	1	Fall	22	10	on	off	on	2
Fri	12/14/17	1	Fall	22	7	on	off	on	2
Sat	12/15/17	1	Fall	19	6	on	off	on	2
Sun	12/16/17	1	Fall	18	10	on	off	on	2
Mon	12/17/17	1	Fall	23	6	on	off	on	2
Tue	12/18/17	1	Fall	16	8	on	off	on	2
Wed	12/19/17	1	Fall	17	15	on	off	on	2
Thu	12/20/17	1	Fall	17	5	on	off	on	2
Fri	12/21/17	1	Fall	24	13	on	off	on	2
Sat	12/22/17	1	Winter	15	8	on	off	on	2
Sun	12/23/17	1	Winter	26	8	on	off	on	2
Mon	12/24/17	1	Winter	20	6	on	off	on	2
Tue	12/25/17	1	Winter	20	5	on	off	on	2
Wed	12/26/17	1	Winter	18	7	on	off	on	2
Thu	12/27/17	1	Winter	28	6	on	off	on	2
Fri	12/28/17	1	Winter	26	12	on	off	on	2
Sat	12/29/17	1	Winter	25	12	on	off	on	2
Sun	12/30/17	1	Winter	27	10	on	off	on	2
Mon	1/1/17	9	Winter	17	-6	on	off	on	1
Tue	1/2/17	9	Winter	25	-5	on	off	on	1
Wed	1/3/17	9	Winter	28	0	on	off	on	1
Thu	1/4/17	9	Winter	22	6	on	off	on	1
Fri	1/5/17	9	Winter	20	4	on	off	on	1
Sat	1/6/17	9	Winter	23	-5	on	off	on	1
Sun	1/7/17	9	Winter	28	1	on	off	on	1
Mon	1/8/17	9	Winter	23	-3	on	off	on	1
Tue	1/9/17	9	Winter	21	1	on	off	on	1
Wed	1/10/17	9	Winter	19	-1	on	off	on	1
Thu	1/11/17	9	Winter	15	3	on	off	on	1
Fri	1/12/17	9	Winter	25	-2	on	off	on	1
Sat	1/13/17	9	Winter	26	10	on	off	on	1
Sun	1/14/17	9	Winter	26	1	on	off	on	1
Mon	1/15/17	9	Winter	17	-4	on	off	on	1
Tue	1/16/17	9	Winter	17	7	on	off	on	1
Wed	1/17/17	9	Winter	16	-9	on	off	on	1
Thu	1/18/17	9	Winter	18	10	on	off	on	1
Fri	1/19/17	9	Winter	25	-8	on	off	on	1
Sat	1/20/17	9	Winter	25	3	on	off	on	1
Sun	1/21/17	9	Winter	24	3	on	off	on	1
Mon	1/22/17	9	Winter	19	2	on	off	on	1
Tue	1/23/17	9	Winter	23	-3	on	off	on	1
Wed	1/24/17	9	Winter	25	-3	on	off	on	1
Thu	1/25/17	9	Winter	16	7	on	off	on	1
Fri	1/26/17	9	Winter	24	1	on	off	on	1
Sat	1/27/17	9	Winter	23	5	on	off	on	1
Sun	1/28/17	9	Winter	18	4	on	off	on	1
Mon	1/29/17	9	Winter	21	7	on	off	on	1
Tue	1/30/17	9	Winter	28	7	on	off	on	1
Wed	1/31/17	9	Winter	21	4	on	off	on	1
Thu	2/1/17	9	Winter	23	-10	on	off	on	1
Fri	2/2/17	9	Winter	16	-9	on	off	on	1
Sat	2/3/17	9	Winter	26	-7	on	off	on	1
Sun	2/4/17	9	Winter	20	3	on	off	on	1
Mon	2/5/17	9	Winter	28	0	on	off	on	1
Tue	2/6/17	9	Winter	22	-2	on	off	on	1
Wed	2/7/17	9	Winter	19	8	on	off	on	1
Thu	2/8/17	9	Winter	16	-4	on	off	on	1
Fri	2/9/17	9	Winter	25	2	on	off	on	1
Sat	2/10/17	9	Winter	20	-7	on	off	on	1
Sun	2/11/17	9	Winter	25	-6	on	off	on	1
Mon	2/12/17	9	Winter	23	-2	on	off	on	1
Tue	2/13/17	9	Winter	26	-4	on	off	on	1
Wed	2/14/17	9	Winter	18	6	on	off	on	1
Thu	2/15/17	9	Winter	16	-7	on	off	on	1
Fri	2/16/17	9	Winter	17	-2	on	off	on	1
Sat	2/17/17	9	Winter	23	-4	on	off	on	1
Sun	2/18/17	9	Winter	22	-4	on	off	on	1
Mon	2/19/17	9	Winter	24	2	on	off	on	1
Tue	2/20/17	9	Winter	25	1	on	off	on	1
Wed	2/21/17	9	Winter	24	-3	on	off	on	1
Thu	2/22/17	9	Winter	21	-10	on	off	on	1
Fri	2/23/17	9	Winter	15	10	on	off	on	1
Sat	2/24/17	9	Winter	19	9	on	off	on	1
Sun	2/25/17	9	Winter	21	7	on	off	on	1
Mon	2/26/17	9	Winter	27	-1	on	off	on	1
Tue	2/27/17	9	Winter	15	-3	on	off	on	1
Wed	2/28/17	9	Winter	20	-6	on	off	on	1
Thu	3/1/17	9	Winter	26	0	on	off	on	1
Fri	3/2/17	9	Winter	27	-7	on	off	on	1
Sat	3/3/17	9	Winter	17	6	on	off	on	1
Sun	3/4/17	9	Winter	26	2	on	off	on	1
Mon	3/5/17	9	Winter	20	-2	on	off	on	1
Tue	3/6/17	9	Winter	22	7	on	off	on	1
Wed	3/7/17	9	Winter	26	-6	on	off	on	1
Thu	3/8/17	9	Winter	28	-8	on	off	on	1
Fri	3/9/17	9	Winter	27	8	on	off	on	1
Sat	3/10/17	9	Winter	25	10	on	off	on	1
Sun	3/11/17	9	Winter	21	1	on	off	on	1
Mon	3/12/17	9	Winter	22	-2	on	off	on	1
Tue	3/13/17	9	Winter	17	2	on	off	on	1
Wed	3/14/17	9	Winter	21	-7	on	off	on	1
Thu	3/15/17	9	Winter	23	8	on	off	on	1
Fri	3/16/17	9	Winter	26	7	on	off	on	1
Sat	3/17/17	9	Winter	19	-8	on	off	on	1
Sun	3/18/17	9	Winter	23	-1	on	off	on	1
Mon	3/19/17	9	Spring	18	-5	on	off	on	1
Tue	3/20/17	9	Spring	22	-4	on	off	on	1
Wed	3/21/17	9	Spring	28	-6	on	off	on	1
Thu	3/22/17	9	Spring	22	5	on	off	on	1
Fri	3/23/17	9	Spring	24	-10	on	off	on	1
Sat	3/24/17	9	Spring	26	-9	on	off	on	1
Sun	3/25/17	9	Spring	18	9	on	off	on	1
Mon	3/26/17	9	Spring	18	3	on	off	on	1
Tue	3/27/17	9	Spring	17	4	on	off	on	1
Wed	3/28/17	9	Spring	27	1	on	off	on	1
Thu	3/29/17	9	Spring	16	9	on	off	on	1
Fri	3/30/17	9	Spring	24	2	on	off	on	1
Sat	3/31/17	9	Spring	18	7	on	off	on	1
Sun	4/1/17	9	Spring	20	2	on	off	on	1
Mon	4/2/17	9	Spring	27	11	on	on	on	1
Tue	4/3/17	9	Spring	17	7	on	off	on	1
Wed	4/4/17	9	Spring	20	7	on	off	on	1
Thu	4/5/17	9	Spring	22	2	on	off	on	1
Fri	4/6/17	9	Spring	16	11	on	on	on	1
Sat	4/7/17	9	Spring	28	3	on	on	on	1
Sun	4/8/17	9	Spring	20	3	on	off	on	1
Mon	4/9/17	9	Spring	24	7	on	off	on	1
Tue	4/10/17	9	Spring	28	4	on	off	on	1
Wed	4/11/17	9	Spring	16	12	on	off	on	1
Thu	4/12/17	9	Spring	15	5	on	off	on	1
Fri	4/13/17	9	Spring	17	6	on	off	on	1
Sat	4/14/17	9	Spring	16	12	on	off	on	1
Sun	4/15/17	9	Spring	16	3	on	off	on	1
Mon	4/16/17	9	Spring	27	7	on	off	on	1
Tue	4/17/17	9	Spring	20	9	on	off	on	1
Wed	4/18/17	9	Spring	20	10	on	off	on	1
Thu	4/19/17	9	Spring	21	3	on	off	on	1
Fri	4/20/17	9	Spring	23	6	on	off	on	1
Sat	4/21/17	9	Spring	23	6	on	off	on	1
Sun	4/22/17	9	Spring	20	4	on	off	on	1
Mon	4/23/17	9	Spring	25	4	on	off	on	1
Tue	4/24/17	9	Spring	27	5	on	off	on	1
Wed	4/25/17	9	Spring	21	2	on	off	on	1
Thu	4/26/17	9	Spring	22	12	on	off	on	1
Fri	4/27/17	9	Spring	23	5	on	off	on	1
Sat	4/28/17	9	Spring	19	4	on	off	on	1
Sun	4/29/17	9	Spring	24	5	on	off	on	1
Mon	4/30/17	9	Spring	16	6	on	off	on	1
Tue	5/1/17	9	Spring	19	8	on	off	on	1
Wed	5/2/17	9	Spring	25	11	on	off	on	1
Thu	5/3/17	9	Spring	21	7	on	off	on	1
Fri	5/4/17	9	Spring	18	2	on	off	on	1
Sat	5/5/17	9	Spring	25	3	on	off	on	1
Sun	5/6/17	9	Spring	25	7	on	off	on	1
Mon	5/7/17	9	Spring	19	2	on	off	on	1
Tue	5/8/17	9	Spring	15	11	on	off	on	1
Wed	5/9/17	9	Spring	28	9	on	off	on	1
Thu	5/10/17	9	Spring	21	12	on	off	on	1
Fri	5/11/17	9	Spring	20	8	on	off	on	1
Sat	5/12/17	9	Spring	24	4	on	off	on	1
